cat_based,cat_cnt,user_based,user_cnt,adamic_adar,resource_allocation,link_cnt
26.0,6.0,15.0,1.0,8.316398899494144,0.9069069069069068,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,11.0,1.0,13.224704541482165,4.375,5.0
18.0,4.0,0.0,0.0,4.402749720828892,0.3320926385442515,9.0
5.0,3.0,0.0,0.0,1.4029277284518744,0.15818759936406995,5.0
10.0,2.0,74.0,6.0,14.895759089922773,2.8519663024684543,14.0
14.0,6.0,0.0,0.0,3.2527389100376434,0.1891891891891892,9.0
6.0,2.0,0.0,0.0,1.3940309614447042,0.08108108108108109,5.0
40.0,8.0,0.0,0.0,12.136523021691163,1.4814814814814812,14.0
60.0,16.0,52.0,4.0,26.122380894516105,4.198097601323408,13.0
0.0,0.0,85.0,7.0,13.668067814188323,2.705128205128205,5.0
2.0,2.0,0.0,0.0,0.5735800729938549,0.06957621758380772,5.0
60.0,12.0,42.0,6.0,32.518420079777044,5.898692810457516,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0,1.544367643903656,0.07526881720430109,9.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,19.0,0.0,0.0,37.85396002305136,8.078703703703702,40.0
15.0,3.0,0.0,0.0,4.603915146452023,0.576923076923077,17.0
8.0,4.0,0.0,0.0,2.268627936410667,0.23529411764705882,5.0
6.0,6.0,132.0,12.0,6.434023439184667,1.1534562042453005,11.0
0.0,0.0,0.0,0.0,0.0,0.0,40.0
25.0,5.0,26.0,2.0,10.947445763050442,1.7664092664092663,7.0
2.0,2.0,11.0,1.0,1.7603564939587169,0.5416666666666666,1.0
10.0,2.0,7.0,1.0,7.315120265810963,1.980392156862745,1.0
4.0,2.0,0.0,0.0,1.070563859146437,0.10483870967741934,5.0
64.0,20.0,0.0,0.0,17.194834005837677,1.663402856951244,13.0
27.0,7.0,0.0,0.0,5.95684662648553,0.29032258064516125,11.0
15.0,3.0,0.0,0.0,3.309359236936406,0.16129032258064518,5.0
21.0,5.0,113.0,9.0,56.33124882809019,19.101190476190474,3.0
10.0,2.0,74.0,6.0,14.895759089922773,2.8519663024684543,14.0
16.0,4.0,63.0,5.0,30.39741441811724,10.142857142857142,2.0
60.0,12.0,42.0,6.0,32.51842007977705,5.898692810457517,12.0
46.0,10.0,0.0,0.0,10.148701659938311,0.49462365591397855,17.0
5.0,1.0,0.0,0.0,1.5005081425020657,0.17857142857142855,2.0
25.0,5.0,0.0,0.0,5.515598728227343,0.2688172043010753,6.0
5.0,1.0,129.0,10.0,17.72023334667943,5.958333333333333,1.0
70.0,14.0,0.0,0.0,27.659007152766527,5.898692810457517,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,0.0,0.0,1.1616924678705869,0.06756756756756757,2.0
60.0,16.0,0.0,0.0,16.51697858518519,1.6980976013234077,13.0
25.0,5.0,30.0,2.0,13.346617706164551,2.6454554930164687,2.0
39.0,11.0,0.0,0.0,11.853433458881254,1.4547511312217196,13.0
20.0,4.0,0.0,0.0,7.10415206118198,1.3616852146263911,5.0
150.0,30.0,270.0,18.0,87.51095854183508,16.783004778972526,40.0
30.0,6.0,0.0,0.0,6.911582084998404,0.39160127869805283,7.0
5.0,1.0,195.0,13.0,62.86649789340523,21.230925578486556,1.0
55.0,11.0,150.0,10.0,33.91724337500101,5.254757117463648,14.0
